,file,class,Predicted_Values,wmc,tcc,totalMethodsQty,totalFieldsQty,loc,Predicted_Metrics,Euclidean_dist
191,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\PaletteButton.java,CH.ifa.draw.util.PaletteButton,none,20,0.36363637,12,6,74,[22.  0. 13.  5. 72.],[3.18311662]
192,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\figures\FontSizeHandle.java,CH.ifa.draw.figures.FontSizeHandle,none,7,0.0,6,0,85,[11.  0.  8.  3. 87.],[5.74456265]
193,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\SingleFigureEnumerator.java,CH.ifa.draw.standard.SingleFigureEnumerator,none,5,1.0,4,1,19,[ 5.  0.  4.  1. 19.],[1.]
194,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\ReverseFigureEnumerator.java,CH.ifa.draw.standard.ReverseFigureEnumerator,none,4,1.0,4,1,15,[ 4.  0.  4.  1. 15.],[1.]
195,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\StandardStorageFormat.java,CH.ifa.draw.util.StandardStorageFormat,minor,18,0.04761905,15,3,86,[18.  0. 17.  2. 85.],[2.44995257]
196,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\StandardFigureSelection.java,CH.ifa.draw.standard.StandardFigureSelection,none,8,0.33333334,4,2,42,[ 8.  0.  4.  2. 41.],[1.05409256]
197,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\samples\nothing\NothingApplet.java,CH.ifa.draw.samples.nothing.NothingApplet,none,1,,1,0,21,[ 1. -1.  1.  0. 21.],[1.]
198,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\framework\DrawingChangeEvent.java,CH.ifa.draw.framework.DrawingChangeEvent,none,3,0.33333334,3,1,13,[ 3.  0.  3.  1. 13.],[0.33333334]
199,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\framework\DrawingChangeListener.java,CH.ifa.draw.framework.DrawingChangeListener,none,2,0.0,2,0,4,[2. 0. 2. 0. 4.],[0.]
200,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\framework\FigureChangeEvent.java,CH.ifa.draw.framework.FigureChangeEvent,none,4,0.5,4,2,18,[ 4.  0.  4.  1. 18.],[1.11803399]
201,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\SimpleUpdateStrategy.java,CH.ifa.draw.standard.SimpleUpdateStrategy,none,1,,1,1,6,[2. 0. 2. 1. 6.],[1.41421356]
